Book	Chapter	Verse	Persian_Text	English_Text	Persian_Audio_URL	English_Audio_URL
GEN	1	1	در ابتدا، خدا آسمانها و زمین را آفرید.	In the beginning God created the heavens and the earth.	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	2	زمین‌ خالی و بدون ‌شكل ‌بود. همه‌جا آب‌ بود و تاریكی آن‌ را پوشانده ‌بود و روح ‌خدا بر روی آبها حركت‌ می‌كرد.	Now the earth was formless and empty, darkness was over the surface of the deep, and the Spirit of God was hovering over the waters.	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	3	خدا فرمود: «روشنایی بشود» و روشنایی شد.	And God said, "Let there be light," and there was light.	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	4	خدا از دیدن‌ روشنایی خشنود شد و روشنایی را از تاریكی جدا كرد.	God saw that the light was good, and he separated the light from the darkness.	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	5	خدا روشنایی را روز و تاریكی را شب ‌نام‌ گذاشت‌. شب‌ گذشت‌ و صبح ‌فرا رسید، این ‌بود روز اول.	God called the light "day," and the darkness he called "night." And there was evening, and there was morning—the first day.	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	6	خدا فرمود: «فلکی ‌ساخته‌ شود تا آبها را از یكدیگر جدا كند»		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	7	خدا فلک ‌را ساخت‌ و آبهای زیر فلک ‌را از آبهای بالای فلک ‌جدا كرد.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	8	خدا فلک‌ را آسمان ‌نامید. شب‌ گذشت‌ و صبح ‌فرا رسید، این‌ بود روز دوم‌.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	9	خدا فرمود: «آبهای زیر آسمان در یک‌‌جا جمع‌ شوند تا خشكی ظاهر گردد» و چنان ‌شد.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	10	خدا خشكی را زمین ‌نامید و آبها را كه ‌در یک‌‌جا جمع ‌بودند دریا نام‌ گذاشت‌. خدا از دیدن‌ آنچه ‌انجام‌ شده ‌بود، خشنود شد.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
