Song_ID	Title_FA	Title_EN	Line_Num	Persian_Lyric	English_Lyric	Audio_URL	Video_URL	Has_Timing
1	الشدای	El Shaddai	1	ای خدای قادر مطلق	El Shaddai, El Shaddai	/audio/ElShaddai.mp3	https://www.youtube.com/embed/jMLhjqlVj5U	Yes
1	الشدای	El Shaddai	2	ای خدای کوه ها	El-Elyon na Adonai	/audio/ElShaddai.mp3	https://www.youtube.com/embed/jMLhjqlVj5U	Yes
1	الشدای	El Shaddai	3	تو ستوده باشی	Age to age You're still the same	/audio/ElShaddai.mp3	https://www.youtube.com/embed/jMLhjqlVj5U	Yes
1	الشدای	El Shaddai	4	تا ابدالآباد	By the power of the name	/audio/ElShaddai.mp3	https://www.youtube.com/embed/jMLhjqlVj5U	Yes
2	شیون	Shout to the Lord	1	خدایا خداوند من	My Jesus, my Savior	/audio/ShoutToTheLord.mp3	https://www.youtube.com/embed/VjdHpGcZzyY	No
2	شیون	Shout to the Lord	2	هیچ کس مانند تو نیست	Lord, there is none like You	/audio/ShoutToTheLord.mp3	https://www.youtube.com/embed/VjdHpGcZzyY	No
2	شیون	Shout to the Lord	3	برکت و شکوه تراست	All of my days I want to praise	/audio/ShoutToTheLord.mp3	https://www.youtube.com/embed/VjdHpGcZzyY	No
2	شیون	Shout to the Lord	4	تمام دل من تو را می‌خواند	The wonders of Your mighty love	/audio/ShoutToTheLord.mp3	https://www.youtube.com/embed/VjdHpGcZzyY	No
3	قدوس قدوس قدوس	Holy Holy Holy	1	قدوس قدوس قدوس	Holy, holy, holy			No
3	قدوس قدوس قدوس	Holy Holy Holy	2	خداوند قادر مطلق	Lord God Almighty			No
3	قدوس قدوس قدوس	Holy Holy Holy	3	صبحگاهان سرود ما	Early in the morning			No
3	قدوس قدوس قدوس	Holy Holy Holy	4	بلند می‌شود نزد تو	Our song shall rise to Thee			No
4	چه عظیم است خدای من	How Great Is Our God	1	چه عظیم است خدای من	How great is our God	/audio/HowGreatIsOurGod.mp3	https://www.youtube.com/embed/KBD18rsVJHk	Yes
4	چه عظیم است خدای من	How Great Is Our God	2	بسرایید چه عظیم است خدای من	Sing with me, how great is our God	/audio/HowGreatIsOurGod.mp3	https://www.youtube.com/embed/KBD18rsVJHk	Yes
4	چه عظیم است خدای من	How Great Is Our God	3	و همه خواهند دید	And all will see	/audio/HowGreatIsOurGod.mp3	https://www.youtube.com/embed/KBD18rsVJHk	Yes
4	چه عظیم است خدای من	How Great Is Our God	4	چقدر عظیم، چقدر عظیم است خدای من	How great, how great is our God	/audio/HowGreatIsOurGod.mp3	https://www.youtube.com/embed/KBD18rsVJHk	Yes
5	شکرگزارم	10,000 Reasons (Bless the Lord)	1	جانم خداوند را متبارک بخوان	Bless the Lord, O my soul		https://www.youtube.com/embed/DXDGE_lRI0E	No
5	شکرگزارم	10,000 Reasons (Bless the Lord)	2	ای جان من خداوند را متبارک بخوان	O my soul, worship His holy name		https://www.youtube.com/embed/DXDGE_lRI0E	No
5	شکرگزارم	10,000 Reasons (Bless the Lord)	3	ده هزار دلیل برای قلب من	Sing like never before		https://www.youtube.com/embed/DXDGE_lRI0E	No
5	شکرگزارم	10,000 Reasons (Bless the Lord)	4	تا او را بیابم	O my soul, I'll worship Your holy name		https://www.youtube.com/embed/DXDGE_lRI0E	No
6	نور جهان	Light of the World	1	نور جهان تو هستی	You are the Light of the World		https://www.youtube.com/embed/pdTRYG495iI	No
6	نور جهان	Light of the World	2	تاریکی فرار می‌کند	Darkness has to flee		https://www.youtube.com/embed/pdTRYG495iI	No
6	نور جهان	Light of the World	3	هیچ چیز نمی‌تواند مقابل تو بایستد	Nothing can stand against You		https://www.youtube.com/embed/pdTRYG495iI	No
6	نور جهان	Light of the World	4	هیچ چیز نمی‌تواند مقابل تو بایستد	Nothing can stand against You		https://www.youtube.com/embed/pdTRYG495iI	No
7	آمد مسیح اندر جهانگ.نوراللـه		1				https://www.youtube.com/embed/hO_N4LAD7C8	No
8	آغوشت محبتیستآراد طفلان		1				https://www.youtube.com/embed/AQNzkfZoQmc	No
9	آه چه زیباست که شوند جمعزنده یاد کشیش رافی شاهوردیان		1				https://www.youtube.com/embed/3K4vBsDuGHQ	No
