[2025-10-30 10:18:25] [INFO] ================================================================================
[2025-10-30 10:18:25] [INFO] Complete Bible Extraction Started (Audio + Text + Versions)
[2025-10-30 10:18:25] [INFO] ================================================================================
[2025-10-30 10:18:25] [INFO] Scanning: C:\Users\SamYar\Desktop\Bible\www.bible.com\fa\bible
[2025-10-30 10:18:25] [INFO] Processing version: 118
[2025-10-30 10:18:25] [INFO] ✓ Found version: هزارۀ نو (nmv)
[2025-10-30 10:18:25] [INFO] ✓ 1CH 1 (nmv): 54 verses
[2025-10-30 10:18:25] [INFO] ✓ 1CH 10 (nmv): 14 verses
[2025-10-30 10:18:26] [INFO] ✓ 1CH 11 (nmv): 47 verses
[2025-10-30 10:18:26] [INFO] ✓ 1CH 12 (nmv): 40 verses
[2025-10-30 10:18:26] [INFO] ✓ 1CH 13 (nmv): 14 verses
[2025-10-30 10:18:26] [INFO] ✓ 1CH 14 (nmv): 17 verses
[2025-10-30 10:18:27] [INFO] ✓ 1CH 15 (nmv): 29 verses
[2025-10-30 10:18:27] [INFO] ✓ 1CH 16 (nmv): 43 verses
[2025-10-30 10:18:27] [INFO] ✓ 1CH 17 (nmv): 27 verses
[2025-10-30 10:18:27] [INFO] ✓ 1CH 18 (nmv): 17 verses
[2025-10-30 10:18:28] [INFO] ✓ 1CH 19 (nmv): 19 verses
[2025-10-30 10:18:28] [INFO] ✓ 1CH 2 (nmv): 55 verses
[2025-10-30 10:18:28] [INFO] ✓ 1CH 20 (nmv): 8 verses
[2025-10-30 10:18:29] [INFO] ✓ 1CH 21 (nmv): 30 verses
[2025-10-30 10:18:29] [INFO] ✓ 1CH 22 (nmv): 19 verses
[2025-10-30 10:18:29] [INFO] ✓ 1CH 23 (nmv): 32 verses
[2025-10-30 10:18:29] [INFO] ✓ 1CH 24 (nmv): 31 verses
[2025-10-30 10:18:30] [INFO] ✓ 1CH 25 (nmv): 31 verses
[2025-10-30 10:18:30] [INFO] ✓ 1CH 26 (nmv): 32 verses
[2025-10-30 10:18:30] [INFO] ✓ 1CH 27 (nmv): 34 verses
[2025-10-30 10:18:30] [INFO] ✓ 1CH 28 (nmv): 21 verses
[2025-10-30 10:18:31] [INFO] ✓ 1CH 29 (nmv): 30 verses
[2025-10-30 10:18:31] [INFO] ✓ 1CH 3 (nmv): 24 verses
[2025-10-30 10:18:31] [INFO] ✓ 1CH 4 (nmv): 43 verses
[2025-10-30 10:18:32] [INFO] ✓ 1CH 5 (nmv): 26 verses
[2025-10-30 10:18:32] [INFO] ✓ 1CH 6 (nmv): 81 verses
[2025-10-30 10:18:32] [INFO] ✓ 1CH 7 (nmv): 40 verses
