file,path,mapped_book,extracted_count,db_count_for_book
1-corinthians_2.pdf,public/documents/bible-pdfs\1-corinthians_2.pdf,اول قرنتیان,58,43
2-corinthians_2.pdf,public/documents/bible-pdfs\2-corinthians_2.pdf,دوم قرنتیان,30,25
Acts_2.pdf,public/documents/bible-pdfs\Acts_2.pdf,اعمال رسولان,107,80
Amos_2.pdf,public/documents/bible-pdfs\Amos_2.pdf,عاموس,11,11
Daniel_2.pdf,public/documents/bible-pdfs\Daniel_2.pdf,دانیال,28,27
Ecclesiastes_2.pdf,public/documents/bible-pdfs\Ecclesiastes_2.pdf,جامعه,26,21
Ephesians_2.pdf,public/documents/bible-pdfs\Ephesians_2.pdf,افسسیان,21,20
Esther_2.pdf,public/documents/bible-pdfs\Esther_2.pdf,استر,18,16
Exudos_2.pdf,public/documents/bible-pdfs\Exudos_2.pdf,,0,
Ezekiel_2.pdf,public/documents/bible-pdfs\Ezekiel_2.pdf,حزقیال,113,93
Ezra_2.pdf,public/documents/bible-pdfs\Ezra_2.pdf,عزرا,46,44
Galatians_2.pdf,public/documents/bible-pdfs\Galatians_2.pdf,غلاطیان,18,16
Genesis-2_2.pdf,public/documents/bible-pdfs\Genesis-2_2.pdf,پیدایش,1493,1332
Habakkuk_2.pdf,public/documents/bible-pdfs\Habakkuk_2.pdf,حبقوق,2,2
Haggai_2.pdf,public/documents/bible-pdfs\Haggai_2.pdf,حجی,3,3
Hosea_2.pdf,public/documents/bible-pdfs\Hosea_2.pdf,هوشع,14,14
Isaiah_2.pdf,public/documents/bible-pdfs\Isaiah_2.pdf,اشعیا,97,95
Jeremiah_2.pdf,public/documents/bible-pdfs\Jeremiah_2.pdf,ارمیا,124,105
Job_2.pdf,public/documents/bible-pdfs\Job_2.pdf,ایوب,47,47
Joel_2.pdf,public/documents/bible-pdfs\Joel_2.pdf,یوئیل,4,4
John_2.pdf,public/documents/bible-pdfs\John_2.pdf,یوحنا,117,81
Jonah_2.pdf,public/documents/bible-pdfs\Jonah_2.pdf,یونس,3,3
Joshua_2.pdf,public/documents/bible-pdfs\Joshua_2.pdf,یوشع,91,77
Judges_2.pdf,public/documents/bible-pdfs\Judges_2.pdf,داوران,66,54
Lamentations_2.pdf,public/documents/bible-pdfs\Lamentations_2.pdf,مراثی ارمیا,7,7
Leviticus_2.pdf,public/documents/bible-pdfs\Leviticus_2.pdf,لاویان,860,794
Luke_2.pdf,public/documents/bible-pdfs\Luke_2.pdf,لوقا,150,99
Malachi_2.pdf,public/documents/bible-pdfs\Malachi_2.pdf,ملاکی,2,2
Mark_2.pdf,public/documents/bible-pdfs\Mark_2.pdf,مرقس,84,67
Matthew_2.pdf,public/documents/bible-pdfs\Matthew_2.pdf,متی,130,94
Micah_2.pdf,public/documents/bible-pdfs\Micah_2.pdf,میکاه,6,6
Nahum_2.pdf,public/documents/bible-pdfs\Nahum_2.pdf,ناحوم,2,2
Nehemiah_2.pdf,public/documents/bible-pdfs\Nehemiah_2.pdf,نحمیا,62,55
Numbers_2.pdf,public/documents/bible-pdfs\Numbers_2.pdf,اعداد,1280,1219
Obadiah_2.pdf,public/documents/bible-pdfs\Obadiah_2.pdf,عوبدیا,0,0
Philippians_2.pdf,public/documents/bible-pdfs\Philippians_2.pdf,فیلیپیان,15,14
Proverbs_2.pdf,public/documents/bible-pdfs\Proverbs_2.pdf,امثال,37,37
Psalms_2.pdf,public/documents/bible-pdfs\Psalms_2.pdf,مزامیر,97,95
Romans_2.pdf,public/documents/bible-pdfs\Romans_2.pdf,رومیان,40,32
Ruth_2.pdf,public/documents/bible-pdfs\Ruth_2.pdf,روت,8,8
Second-samuel_2.pdf,public/documents/bible-pdfs\Second-samuel_2.pdf,دوم سموئیل,53,50
Song-of-solomon_2.pdf,public/documents/bible-pdfs\Song-of-solomon_2.pdf,غزل غزلها,8,8
Zechariah_2.pdf,public/documents/bible-pdfs\Zechariah_2.pdf,زکریا,24,21
Zephaniah_2.pdf,public/documents/bible-pdfs\Zephaniah_2.pdf,صفنیا,3,3
deuteronomy_2.pdf,public/documents/bible-pdfs\deuteronomy_2.pdf,تثنیه,964,895
first-chronicles_2.pdf,public/documents/bible-pdfs\first-chronicles_2.pdf,اول تواریخ,127,94
first-kings_2.pdf,public/documents/bible-pdfs\first-kings_2.pdf,اول پادشاهان,79,68
first-samuel_2.pdf,public/documents/bible-pdfs\first-samuel_2.pdf,اول سموئیل,68,62
second-chronicles_2.pdf,public/documents/bible-pdfs\second-chronicles_2.pdf,دوم تواریخ,77,65
second-kings_2.pdf,public/documents/bible-pdfs\second-kings_2.pdf,دوم پادشاهان,60,57
