book_number,book_en,book_fa,total,have_en,have_fa,missing_en,missing_fa,percent_en_missing,percent_fa_missing
1,"Genesis","پیدایش",56,40,0,16,56,28.57,100.00
2,"Exodus","خروج",22,17,0,5,22,22.73,100.00
3,"Leviticus","لاویان",17,14,0,3,17,17.65,100.00
4,"Numbers","اعداد",54,27,0,27,54,50.00,100.00
5,"Deuteronomy","تثنیه",46,36,0,10,46,21.74,100.00
6,"Joshua","یوشع",18,13,0,5,18,27.78,100.00
7,"Judges","داوران",36,24,0,12,36,33.33,100.00
8,"Ruth","روت",22,13,0,9,22,40.91,100.00
9,"1 Samuel","اول سموئیل",28,19,0,9,28,32.14,100.00
10,"2 Samuel","دوم سموئیل",27,20,0,7,27,25.93,100.00
11,"1 Kings","اول پادشاهان",53,44,0,9,53,16.98,100.00
12,"2 Kings","دوم پادشاهان",18,17,0,1,18,5.56,100.00
13,"1 Chronicles","اول تواریخ",54,30,0,24,54,44.44,100.00
14,"2 Chronicles","دوم تواریخ",17,14,0,3,17,17.65,100.00
15,"Ezra","عزرا",11,9,0,2,11,18.18,100.00
16,"Nehemiah","نحمیا",11,9,0,2,11,18.18,100.00
17,"Esther","استر",22,16,0,6,22,27.27,100.00
18,"Job","ایوب",22,13,0,9,22,40.91,100.00
19,"Psalms","مزامیر",279,222,0,57,279,20.43,100.00
20,"Proverbs","امثال",133,86,0,47,133,35.34,100.00
21,"Ecclesiastes","جامعه",18,11,0,7,18,38.89,100.00
22,"Song of Songs","غزل غزل‌ها",17,14,0,3,17,17.65,100.00
23,"Isaiah","اشعیا",62,44,0,18,62,29.03,100.00
24,"Jeremiah","ارمیا",19,15,0,4,19,21.05,100.00
25,"Lamentations","مراثی ارمیا",22,13,0,9,22,40.91,100.00
26,"Ezekiel","حزقیال",66,37,0,29,66,43.94,100.00
27,"Daniel","دانیال",21,15,0,6,21,28.57,100.00
28,"Hosea","هوشع",11,7,0,4,11,36.36,100.00
29,"Joel","یوئیل",20,11,0,9,20,45.00,100.00
30,"Amos","عاموس",15,9,0,6,15,40.00,100.00
31,"Obadiah","عوبدیا",21,10,0,11,21,52.38,100.00
32,"Jonah","یونس",17,10,0,7,17,41.18,100.00
33,"Micah","میکاه",16,12,0,4,16,25.00,100.00
34,"Nahum","ناحوم",15,10,0,5,15,33.33,100.00
35,"Habakkuk","حبقوق",17,12,0,5,17,29.41,100.00
36,"Zephaniah","صفنیا",18,11,0,7,18,38.89,100.00
37,"Haggai","حجّی",15,9,0,6,15,40.00,100.00
38,"Zechariah","زکریا",21,15,0,6,21,28.57,100.00
39,"Malachi","ملاکی",14,8,0,6,14,42.86,100.00
40,"Matthew","متی",132,96,0,36,132,27.27,100.00
41,"Mark","مرقس",168,131,0,37,168,22.02,100.00
42,"Luke","لوقا",191,139,0,52,191,27.23,100.00
43,"John","یوحنا",362,293,0,69,362,19.06,100.00
44,"Acts","اعمال رسولان",86,69,0,17,86,19.77,100.00
45,"Romans","رومیان",107,76,0,31,107,28.97,100.00
46,"1 Corinthians","اول قرنتیان",47,35,0,12,47,25.53,100.00
47,"2 Corinthians","دوم قرنتیان",81,54,0,27,81,33.33,100.00
48,"Galatians","غلاطیان",50,39,0,11,50,22.00,100.00
49,"Ephesians","افسسیان",69,48,0,21,69,30.43,100.00
50,"Philippians","فیلیپیان",60,42,0,18,60,30.00,100.00
51,"Colossians","کولسیان",29,16,0,13,29,44.83,100.00
52,"1 Thessalonians","اول تسالونیکیان",10,5,0,5,10,50.00,100.00
53,"2 Thessalonians","دوم تسالونیکیان",29,23,0,6,29,20.69,100.00
54,"1 Timothy","اول تیموتائوس",20,10,0,10,20,50.00,100.00
55,"2 Timothy","دوم تیموتائوس",18,11,0,7,18,38.89,100.00
56,"Titus","تیطس",16,8,0,8,16,50.00,100.00
57,"Philemon","فیلیمون",25,20,0,5,25,20.00,100.00
58,"Hebrews","عبرانیان",39,29,0,10,39,25.64,100.00
59,"James","یعقوب",44,41,0,3,44,6.82,100.00
60,"1 Peter","اول پطرس",25,18,0,7,25,28.00,100.00
61,"2 Peter","دوم پطرس",21,16,0,5,21,23.81,100.00
62,"1 John","اول یوحنا",60,49,0,11,60,18.33,100.00
63,"2 John","دوم یوحنا",13,12,0,1,13,7.69,100.00
64,"3 John","سوم یوحنا",14,12,0,2,14,14.29,100.00
65,"Jude","یهودا",25,20,0,5,25,20.00,100.00
66,"Revelation","مکاشفهٔ یوحنا",20,9,0,11,20,55.00,100.00
